window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
770,1282,1970-01-01 00:28:24.360000,1970-01-01 00:28:24.686100,-1,Unclassified,0.5180984139442444
780,1292,1970-01-01 00:28:24.363000,1970-01-01 00:28:24.689100,-1,Unclassified,0.3468230366706848
790,1302,1970-01-01 00:28:24.366000,1970-01-01 00:28:24.692100,-1,Unclassified,0.5297760367393494
800,1312,1970-01-01 00:28:24.369000,1970-01-01 00:28:24.695100,-1,Unclassified,0.35310184955596924
810,1322,1970-01-01 00:28:24.372000,1970-01-01 00:28:24.698100,-1,Unclassified,0.5054317116737366
820,1332,1970-01-01 00:28:24.375000,1970-01-01 00:28:24.701100,-1,Unclassified,0.33678531646728516
830,1342,1970-01-01 00:28:24.378000,1970-01-01 00:28:24.704100,3,Bullish Normal,0.5630090236663818
840,1352,1970-01-01 00:28:24.381000,1970-01-01 00:28:24.707100,-1,Unclassified,0.35202258825302124
850,1362,1970-01-01 00:28:24.384000,1970-01-01 00:28:24.710100,-1,Unclassified,0.5011183023452759
860,1372,1970-01-01 00:28:24.387000,1970-01-01 00:28:24.713100,-1,Unclassified,0.3646799325942993
870,1382,1970-01-01 00:28:24.390000,1970-01-01 00:28:24.716100,-1,Unclassified,0.4787837266921997
880,1392,1970-01-01 00:28:24.393000,1970-01-01 00:28:24.719100,-1,Unclassified,0.36211079359054565
890,1402,1970-01-01 00:28:24.396000,1970-01-01 00:28:24.722100,-1,Unclassified,0.4879811704158783
900,1412,1970-01-01 00:28:24.399000,1970-01-01 00:28:24.725100,-1,Unclassified,0.3466987907886505
910,1422,1970-01-01 00:28:24.402000,1970-01-01 00:28:24.728100,-1,Unclassified,0.5426833629608154
920,1432,1970-01-01 00:28:24.405000,1970-01-01 00:28:24.731100,-1,Unclassified,0.5149155855178833
930,1442,1970-01-01 00:28:24.408000,1970-01-01 00:28:24.734100,3,Bullish Normal,0.5793434977531433
940,1452,1970-01-01 00:28:24.411000,1970-01-01 00:28:24.737100,-1,Unclassified,0.38275885581970215
950,1462,1970-01-01 00:28:24.414000,1970-01-01 00:28:24.740100,-1,Unclassified,0.48240387439727783
960,1472,1970-01-01 00:28:24.417000,1970-01-01 00:28:24.743100,-1,Unclassified,0.32870718836784363
970,1482,1970-01-01 00:28:24.420000,1970-01-01 00:28:24.746100,-1,Unclassified,0.43444252014160156
980,1492,1970-01-01 00:28:24.423000,1970-01-01 00:28:24.749100,-1,Unclassified,0.32024839520454407
990,1502,1970-01-01 00:28:24.426000,1970-01-01 00:28:24.752100,-1,Unclassified,0.5171627998352051
1000,1512,1970-01-01 00:28:24.429000,1970-01-01 00:28:24.755100,-1,Unclassified,0.32878318428993225
