timestamp,open,high,low,close
1704898800000,1.09396,1.097,1.0935,1.09673
1704902400000,1.09675,1.097,1.0951,1.09591
1704906000000,1.09597,1.0968,1.0957,1.09671
1704909600000,1.0967,1.097,1.0958,1.09693
1704913200000,1.0969,1.0972,1.0965,1.09701
1704916800000,1.09703,1.0973,1.096,1.09653
1704920400000,1.09654,1.0975,1.0963,1.09722
1704924000000,1.09722,1.0974,1.0964,1.09709
1704927600000,1.0973,1.0975,1.0969,1.0974
1704931200000,1.09742,1.0979,1.0971,1.09775
1704934800000,1.09778,1.09802,1.0973,1.09786
1704938400000,1.09788,1.0985,1.0976,1.0978
1704942000000,1.09782,1.09813,1.0976,1.098
1704945600000,1.09803,1.0983,1.0976,1.09777
1704949200000,1.09776,1.0982,1.0974,1.0977
1704952800000,1.09782,1.09886,1.0973,1.09859
1704956400000,1.0986,1.0987,1.0976,1.09788
1704960000000,1.09789,1.09814,1.0971,1.0975
1704963600000,1.0975,1.09751,1.0957,1.0964
1704967200000,1.09638,1.09699,1.0957,1.09681
1704970800000,1.09682,1.09824,1.0966,1.09784
1704974400000,1.0977,1.09902,1.0974,1.0982
1704978000000,1.09838,1.09904,1.0935,1.09388
1704981600000,1.09394,1.09728,1.093,1.0952
1704985200000,1.09534,1.09627,1.0929,1.09462
1704988800000,1.09463,1.09573,1.0936,1.09423
1704992400000,1.09423,1.09544,1.094,1.09509
1704996000000,1.09508,1.0966,1.0949,1.09647
1704999600000,1.09648,1.0983,1.0963,1.0982
1705003200000,1.09821,1.09825,1.0955,1.09714
1705006800000,1.09711,1.09751,1.0969,1.097
1705010400000,1.097,1.0977,1.09614,1.0972
1705014000000,1.09715,1.09826,1.09693,1.09824
1705017600000,1.09824,1.0986,1.0973,1.09756
1705021200000,1.09753,1.09843,1.0971,1.09826
1705024800000,1.09824,1.0986,1.0976,1.0978
1705028400000,1.09794,1.0983,1.0976,1.09777
1705032000000,1.09776,1.0978,1.0971,1.09756
1705035600000,1.09757,1.09804,1.0972,1.09752
1705039200000,1.09755,1.0979,1.0971,1.09752
1705042800000,1.09752,1.09776,1.0959,1.09668
1705046400000,1.09658,1.09828,1.0964,1.09752
1705050000000,1.09751,1.09798,1.096,1.0962
1705053600000,1.09625,1.09641,1.0955,1.09597
1705057200000,1.09601,1.09621,1.0945,1.09497
1705060800000,1.09497,1.0952,1.0936,1.09378
1705064400000,1.09378,1.09696,1.0934,1.09553
1705068000000,1.09553,1.0985,1.0951,1.09755
1705071600000,1.09749,1.09869,1.0961,1.09662
1705075200000,1.09658,1.0974,1.09579,1.09583
1705078800000,1.09579,1.09588,1.0946,1.09497
1705082400000,1.09497,1.096,1.0948,1.09591
1705086000000,1.09593,1.09633,1.0952,1.09557
1705089600000,1.09559,1.09564,1.0949,1.09513
1705093200000,1.09515,1.0954,1.0938,1.0941
1705269600000,1.09463,1.09509,1.09431,1.09486
1705273200000,1.09491,1.09491,1.09437,1.09448
1705276800000,1.09449,1.0955,1.09406,1.09527
1705280400000,1.09531,1.09562,1.0948,1.09545
1705284000000,1.09548,1.09655,1.0953,1.09646
1705287600000,1.09646,1.0968,1.0962,1.09642
